Model,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0.9216666666666666,0.765,0.7416666666666667,0.8983333333333333,0.7466666666666667,0.8883333333333333,0.6183333333333333,0.9266666666666666
resnet101,0.9183333333333333,0.775,0.7883333333333333,0.9216666666666666,0.7516666666666667,0.9,0.6483333333333333,0.9266666666666666
densenet121,0.985,0.79,0.96,0.985,0.7716666666666666,0.99,0.9716666666666667,0.9766666666666667
densenet169,0.9866666666666667,0.785,0.96,0.9766666666666667,0.7716666666666666,0.9883333333333333,0.9833333333333333,0.985
vgg16,0.9916666666666667,0.8883333333333333,0.9366666666666666,0.955,0.7866666666666666,0.995,0.93,0.9816666666666667
vgg19,0.9833333333333333,0.8883333333333333,0.9266666666666666,0.955,0.7933333333333333,0.98,0.91,0.9733333333333334
alexnet,0.98,0.8883333333333333,0.92,0.9583333333333334,0.7766666666666666,0.9866666666666667,0.8633333333333333,0.9683333333333334
resnext50_32x4d,0.9133333333333333,0.7333333333333333,0.7883333333333333,0.8133333333333334,0.7666666666666667,0.9033333333333333,0.5166666666666667,0.9083333333333333
resnext101_32x8d,0.9466666666666667,0.7816666666666666,0.8366666666666667,0.9516666666666667,0.7516666666666667,0.9383333333333334,0.7316666666666667,0.9516666666666667
shufflenet_v2_x1_0,0.99,0.7716666666666666,0.8933333333333333,0.985,0.81,0.9883333333333333,0.9783333333333334,0.9783333333333334
mobilenet_v2,0.9516666666666667,0.7066666666666667,0.8,0.93,0.775,0.955,0.9316666666666666,0.9166666666666666
mnasnet0_5,0.9883333333333333,0.8383333333333334,0.8783333333333333,0.9733333333333334,0.77,0.9883333333333333,0.9683333333333334,0.965
