Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
resnet50,0.7400,0.8283,0.7850,0.7117,0.6967,0.7017,0.8417,0.5183,0.8667,0.7433
resnet101,0.8000,0.8267,0.7050,0.7250,0.7900,0.7567,0.8300,0.5417,0.8717,0.7607
densenet121,0.9633,0.9783,0.8383,0.8867,0.9700,0.9433,0.9600,0.9533,0.9650,0.9398
densenet169,0.9717,0.9683,0.8183,0.8933,0.9783,0.9567,0.9683,0.9550,0.9733,0.9426
vgg16,0.9517,0.9717,0.7717,0.8450,0.9267,0.9417,0.9700,0.9133,0.9767,0.9187
vgg19,0.9483,0.9717,0.6917,0.8350,0.9150,0.9350,0.9700,0.8333,0.9633,0.8959
alexnet,0.9533,0.9800,0.7800,0.8533,0.9417,0.9617,0.9633,0.6183,0.9717,0.8915
resnext50_32x4d,0.7367,0.8150,0.5900,0.6783,0.7083,0.6783,0.8133,0.4833,0.8383,0.7046
resnext101_32x8d,0.8317,0.8383,0.6500,0.7750,0.8950,0.8083,0.8633,0.6517,0.9083,0.8024
shufflenet_v2_x1_0,0.8917,0.9700,0.6917,0.7633,0.9617,0.8750,0.9650,0.9483,0.9683,0.8928
mobilenet_v2,0.7717,0.9150,0.6717,0.6817,0.8550,0.7650,0.9050,0.8983,0.9017,0.8183
mnasnet0_5,0.8767,0.9633,0.6650,0.7233,0.9300,0.8933,0.9650,0.9450,0.9517,0.8793
vit_base_patch16_224,0.9833,0.9900,0.8650,0.9300,0.9817,0.9817,0.9917,0.9383,0.9867,0.9609
vit_base_patch32_224,0.9833,0.9950,0.8767,0.9300,0.9850,0.9867,0.9917,0.9633,0.9900,0.9669
vit_large_patch16_224,0.9917,0.9983,0.8683,0.9400,0.9833,0.9833,0.9967,0.9833,0.9933,0.9709
vit_small_patch32_224,0.9817,0.9917,0.8917,0.9250,0.9950,0.9717,0.9717,0.9367,0.9833,0.9609
deit3_small_patch16_224,0.9683,0.9900,0.7983,0.8683,0.9633,0.9517,0.9550,0.8550,0.9650,0.9239
vit_base_patch8_224,0.9767,0.9933,0.8550,0.9167,0.9783,0.9783,0.9950,0.8817,0.9900,0.9517
vit_tiny_patch16_224,0.9783,0.9867,0.8650,0.8800,0.9833,0.9733,0.9533,0.8950,0.9750,0.9433
vit_small_patch16_224,0.9850,0.9933,0.8583,0.9083,0.9817,0.9800,0.9750,0.9383,0.9883,0.9565
vit_base_patch16_384,0.9783,0.9817,0.8950,0.9233,0.9817,0.9833,0.9850,0.9633,0.9817,0.9637
vit_tiny_patch16_384,0.9767,0.9900,0.8083,0.8917,0.9850,0.9750,0.9733,0.9000,0.9933,0.9437
vit_small_patch32_384,0.9850,0.9917,0.9067,0.9150,0.9900,0.9833,0.9750,0.9483,0.9833,0.9643
vit_small_patch16_384,0.9867,0.9883,0.8333,0.9367,0.9883,0.9850,0.9750,0.9450,0.9883,0.9585
vit_base_patch32_384,0.9883,0.9933,0.8833,0.9450,0.9867,0.9833,0.9900,0.9650,0.9967,0.9702
Average,0.9280,0.9564,0.7945,0.8513,0.9341,0.9173,0.9497,0.8549,0.9589,
