Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0.7579142185663925,0.7666098707403055,0.4749082312125791,0.3754698953611997,0.5291136478092999,0.3781580493537015,0.7852673325499413,0.2404524089306698,0.7514515136254267
resnet101,0.7347267920094007,0.742035840188014,0.3371835655531308,0.41561538246320856,0.6231563706563706,0.3534224441833137,0.7360311398354876,0.2743478260869565,0.7019524648872475
densenet121,0.7643448883666275,0.7265746180963573,0.4381292317161882,0.5411858597728163,0.6916368697890437,0.37549353701527616,0.7315746180963573,0.6462136981702199,0.7010062391584131
densenet169,0.7509665099882491,0.7223178613396004,0.42991704437356615,0.4699848917240222,0.6434364333277377,0.38558460634547587,0.7165305522914219,0.6530304683565553,0.6934621733534778
vgg16,0.7702585193889542,0.7477585193889542,0.6040025740025741,0.5224616697442784,0.5835842985842986,0.3565523753567232,0.7742332549941247,0.6231853281853281,0.7215306921828661
vgg19,0.7592450058754407,0.7539189189189188,0.5298570309439874,0.4696396396396396,0.5875149683845337,0.30434782608695654,0.757488249118684,0.5518886743886744,0.7112723126853562
alexnet,0.7382314923619272,0.7407314923619271,0.5334777013037882,0.46423535336578814,0.6371010296010297,0.3546827262044653,0.7711368977673325,0.4605983157070114,0.6697624643276816
resnext50_32x4d,0.7302790834312574,0.6885340775558166,0.4110747859660903,0.3766970231100666,0.5234863745733311,0.34788484136310227,0.6623560517038778,0.23391304347826086,0.6436126965474792
resnext101_32x8d,0.7343566392479436,0.7200088131609871,0.3968563594650551,0.3945277264842482,0.6296810475071344,0.3424441833137485,0.670951821386604,0.22775823960606567,0.7137531475574954
shufflenet_v2_x1_0,0.734400705052879,0.7560575793184489,0.5463854848637457,0.4085897543506239,0.6641284763023894,0.38522326674500584,0.7536486486486487,0.6802676123328297,0.7285414918023614
mobilenet_v2,0.6991304347826087,0.7200440658049354,0.5507850707850708,0.35994698114263335,0.47427760058194846,0.33661574618096357,0.7240746180963572,0.6651543002629959,0.7184224441833137
mnasnet0_5,0.7111133960047002,0.7567097532314923,0.645061971909798,0.38831192994236474,0.6056071288679984,0.33706227967097535,0.7453701527614571,0.7046754518493649,0.7325440658049354
vit_base_patch16_224,0.7409224441833138,0.7783108108108108,0.49400523194001456,0.5323129651390521,0.6614032510771641,0.4823463991942253,0.7521621621621621,0.6133628504280678,0.6889473168820994
vit_base_patch32_224,0.7455405405405406,0.7199882491186839,0.4859907112081025,0.5503732303732304,0.6861078003469308,0.5143290806334284,0.7404054054054053,0.6303153153153154,0.6800647697386828
vit_large_patch16_224,0.7536368977673324,0.7456756756756757,0.44483632701024006,0.5092328353197918,0.6862051647921212,0.5054054054054055,0.7404054054054053,0.5986320015667842,0.6773577304012086
vit_small_patch32_224,0.8031639247943596,0.7711368977673325,0.5493366347714174,0.5198420625594539,0.6793660119747076,0.45634029992725644,0.7607755581668625,0.5994716300151083,0.7242248615074701
deit3_small_patch16_224,0.750584606345476,0.7255405405405406,0.504009009009009,0.5367412288064461,0.658859325163673,0.37849882491186837,0.7120358401880141,0.5672252532035141,0.6659318169100779
vit_base_patch8_224,0.744527027027027,0.7589189189189189,0.4917194057411449,0.4792984444071401,0.7041910077779644,0.5431429410777237,0.7647972972972973,0.5666459627329192,0.705600973644452
vit_tiny_patch16_224,0.7264747356051704,0.763219741480611,0.4537468524425046,0.5147640031335683,0.6902414526327569,0.4574960830395613,0.7087972133624307,0.5518029209333557,0.6912682558334732
vit_small_patch16_224,0.7749324324324325,0.7795152761457109,0.5316579933971238,0.5120691343517431,0.7154220524872699,0.5237321638408595,0.7360223266745005,0.5843192882323317,0.694292568966482
vit_base_patch16_384,0.754515276145711,0.7474324324324324,0.49295450730233337,0.5157695428347603,0.7490453807845112,0.528536595601813,0.7418801410105759,0.6176931900844944,0.6962222315483184
vit_tiny_patch16_384,0.7271621621621621,0.7344359576968272,0.4343699289351463,0.4558098315707011,0.7089810307201612,0.4120682950030776,0.6912220916568743,0.5184244026635331,0.7044246264898438
vit_small_patch32_384,0.7441098707403055,0.7714189189189189,0.4858498405237536,0.5124019360975883,0.7220524872698786,0.43762030664204576,0.7450881316098708,0.588813160987074,0.7182263163784902
vit_small_patch16_384,0.6992567567567567,0.7721504112808462,0.5083070337418164,0.5007400257400257,0.7224034749034749,0.5031927424318728,0.748096357226792,0.626020228302837,0.6719332997593868
vit_base_patch32_384,0.7647062279670975,0.7674324324324324,0.4963282692630519,0.5298752168317387,0.7035550612724525,0.5190778355995747,0.7772972972972972,0.6445410161714509,0.6811812433551564
