Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0,0.7824882491186839,0.4749082312125791,0,0,0,0,0,0
resnet101,0,0.7270916568742656,0.3371835655531308,0,0,0,0,0,0
densenet121,0,0.7268008225616922,0.455121006099267,0,0,0,0,0,0
densenet169,0,0.7123178613396005,0.4261846007498182,0,0,0,0,0,0
vgg16,0,0.7490540540540541,0.5991034357338705,0,0,0,0,0,0
vgg19,0,0.7499882491186839,0.5452064797716972,0,0,0,0,0,0
alexnet,0,0.7332314923619271,0.5024611101785015,0,0,0,0,0,0
resnext50_32x4d,0,0.6323693413910806,0.4110747859660903,0,0,0,0,0,0
resnext101_32x8d,0,0.7183871915393654,0.3968563594650551,0,0,0,0,0,0
shufflenet_v2_x1_0,0,0.7372179788484137,0.562868334172682,0,0,0,0,0,0
mobilenet_v2,0,0.7234224441833138,0.5707053326618544,0,0,0,0,0,0
mnasnet0_5,0,0.7484224441833137,0.6710268032007163,0,0,0,0,0,0
vit_base_patch16_224,0,0.8019594594594595,0.49400523194001456,0,0,0,0,0,0
vit_base_patch32_224,0,0.757150411280846,0.4859907112081025,0,0,0,0,0,0
vit_large_patch16_224,0,0.7418801410105759,0.4495982317721448,0,0,0,0,0,0
vit_small_patch32_224,0,0.7689629847238542,0.5493366347714174,0,0,0,0,0,0
deit3_small_patch16_224,0,0.7390540540540541,0.504009009009009,0,0,0,0,0,0
vit_base_patch8_224,0,0.7699324324324325,0.4917194057411449,0,0,0,0,0,0
vit_tiny_patch16_224,0,0.7926116333725028,0.4537468524425046,0,0,0,0,0,0
vit_small_patch16_224,0,0.7795152761457109,0.5316579933971238,0,0,0,0,0,0
vit_base_patch16_384,0,0.7399324324324325,0.49295450730233337,0,0,0,0,0,0
vit_tiny_patch16_384,0,0.770584606345476,0.4343699289351463,0,0,0,0,0,0
vit_small_patch32_384,0,0.7722972972972972,0.4858498405237536,0,0,0,0,0,0
vit_small_patch16_384,0,0.7675675675675675,0.5083070337418164,0,0,0,0,0,0
vit_base_patch32_384,0,0.7699324324324325,0.4963282692630519,0,0,0,0,0,0
