Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0.5964881651838173,0.7824882491186839,0.4749082312125791,0.762497062279671,0.7056962397179789,0.7617097532314924,0.7852673325499413,0.2404524089306698,0.7926674500587545
resnet101,0.5938908007386269,0.7270916568742656,0.3371835655531308,0.7117655699177439,0.7385223266745006,0.766900705052879,0.7360311398354876,0.2743478260869565,0.7213484136310223
densenet121,0.6895580829276482,0.7268008225616922,0.455121006099267,0.8125205640423032,0.7769242068155112,0.7546269095182139,0.7315746180963573,0.6462136981702199,0.7253701527614571
densenet169,0.7156699401264619,0.7123178613396005,0.4261846007498182,0.7687367802585194,0.7398971797884841,0.7387485311398355,0.7165305522914219,0.6530304683565553,0.7093566392479437
vgg16,0.6539958592132505,0.7490540540540541,0.5991034357338705,0.760584606345476,0.7490188014101058,0.7423971797884841,0.7742332549941247,0.6231853281853281,0.7727027027027028
vgg19,0.6529161770466119,0.7499882491186839,0.5452064797716972,0.7462837837837838,0.7219359576968273,0.7366098707403055,0.757488249118684,0.5518886743886744,0.7765540540540541
alexnet,0.681697302892955,0.7332314923619271,0.5024611101785015,0.7248531139835488,0.7726674500587545,0.7391098707403055,0.7711368977673325,0.4605983157070114,0.7662720329024677
resnext50_32x4d,0.5974855911812433,0.6323693413910806,0.4110747859660903,0.716078143360752,0.7329700352526439,0.7459312573443009,0.6623560517038778,0.2339130434782608,0.6993213866039953
resnext101_32x8d,0.551812433551564,0.7183871915393654,0.3968563594650551,0.7150646298472385,0.7457520564042303,0.7358871915393654,0.670951821386604,0.2277582396060656,0.7415746180963573
shufflenet_v2_x1_0,0.6232323317105926,0.7372179788484137,0.562868334172682,0.7111133960047002,0.7865981198589894,0.7809665099882491,0.7536486486486487,0.6802676123328297,0.738096357226792
mobilenet_v2,0.5934497230149404,0.7234224441833138,0.5707053326618544,0.7063954171562867,0.7031169212690952,0.7161133960047004,0.7240746180963572,0.6651543002629959,0.7330052878965923
mnasnet0_5,0.6114460578591012,0.7484224441833137,0.6710268032007163,0.7057520564042303,0.7304142185663924,0.7709665099882491,0.7453701527614571,0.7046754518493649,0.7450440658049353
vit_base_patch16_224,0.6713840859493034,0.8019594594594595,0.4940052319400145,0.7263396004700352,0.7638278495887192,0.7213396004700353,0.7521621621621621,0.6133628504280678,0.7717450058754407
vit_base_patch32_224,0.683471126405909,0.757150411280846,0.4859907112081025,0.7436927144535841,0.7921504112808461,0.7460017626321974,0.7404054054054053,0.6303153153153154,0.7374882491186839
vit_large_patch16_224,0.6751646522298697,0.7418801410105759,0.4495982317721448,0.7111486486486487,0.7751116333725029,0.7187837837837838,0.7404054054054053,0.5986320015667842,0.7085135135135135
vit_small_patch32_224,0.7167072351854961,0.7689629847238542,0.5493366347714174,0.776653936545241,0.806542303172738,0.7851674500587544,0.7607755581668625,0.5994716300151083,0.7795152761457109
deit3_small_patch16_224,0.6674799955234738,0.7390540540540541,0.504009009009009,0.7400323149236193,0.7592450058754407,0.7846944770857814,0.7120358401880141,0.5672252532035141,0.740358401880141
vit_base_patch8_224,0.6624471210340775,0.7699324324324325,0.4917194057411449,0.7273531139835487,0.7332873090481786,0.7210135135135135,0.7647972972972973,0.5666459627329192,0.7455405405405406
vit_tiny_patch16_224,0.6745586424934251,0.7926116333725028,0.4537468524425046,0.7329054054054054,0.7828936545240893,0.7372972972972972,0.7087972133624307,0.5518029209333557,0.756418918918919
vit_small_patch16_224,0.6697432991998209,0.7795152761457109,0.5316579933971238,0.7424882491186839,0.8182990599294948,0.7618801410105759,0.7360223266745005,0.5843192882323317,0.7560017626321974
vit_base_patch16_384,0.6917304571652397,0.7399324324324325,0.4929545073023333,0.7493801410105758,0.7818683901292597,0.7748413631022326,0.7418801410105759,0.6176931900844944,0.7492450058754407
vit_tiny_patch16_384,0.6375020983716635,0.770584606345476,0.4343699289351463,0.7142567567567568,0.7864071680376028,0.7113396004700353,0.6912220916568743,0.5184244026635331,0.7442450058754406
vit_small_patch32_384,0.6419600190252365,0.7722972972972972,0.4858498405237536,0.7197179788484136,0.7803936545240893,0.7309782608695652,0.7450881316098708,0.588813160987074,0.7771621621621622
vit_small_patch16_384,0.6330113032286945,0.7675675675675675,0.5083070337418164,0.7666891891891892,0.7808548766157463,0.7579494712103407,0.748096357226792,0.626020228302837,0.7489189189189189
vit_base_patch32_384,0.6750735828996699,0.7699324324324325,0.4963282692630519,0.7691891891891893,0.7535017626321974,0.7599324324324325,0.7772972972972972,0.6445410161714509,0.7496621621621622
