,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
,,,,,,,,,,
resnet50,0.7579,0.7666,0.4749,0.3755,0.5291,0.3782,0.7853,0.2405,0.7515,0.5621
,,,,,,,,,,
resnet101,0.7347,0.742,0.3372,0.4156,0.6232,0.3534,0.736,0.2743,0.702,0.5465
,,,,,,,,,,
densenet121,0.7643,0.7266,0.4381,0.5412,0.6916,0.3755,0.7316,0.6462,0.701,0.624
,,,,,,,,,,
densenet169,0.751,0.7223,0.4299,0.47,0.6434,0.3856,0.7165,0.653,0.6935,0.6072
,,,,,,,,,,
vgg16,0.7703,0.7478,0.604,0.5225,0.5836,0.3566,0.7742,0.6232,0.7215,0.6337
,,,,,,,,,,
vgg19,0.7592,0.7539,0.5299,0.4696,0.5875,0.3043,0.7575,0.5519,0.7113,0.6028
,,,,,,,,,,
alexnet,0.7382,0.7407,0.5335,0.4642,0.6371,0.3547,0.7711,0.4606,0.6698,0.5967
,,,,,,,,,,
resnext50_32x4d,0.7303,0.6885,0.4111,0.3767,0.5235,0.3479,0.6624,0.2339,0.6436,0.5131
,,,,,,,,,,
resnext101_32x8d,0.7344,0.72,0.3969,0.3945,0.6297,0.3424,0.671,0.2278,0.7138,0.5367
,,,,,,,,,,
shufflenet_v2_x1_0,0.7344,0.7561,0.5464,0.4086,0.6641,0.3852,0.7536,0.6803,0.7285,0.6286
,,,,,,,,,,
mobilenet_v2,0.6991,0.72,0.5508,0.3599,0.4743,0.3366,0.7241,0.6652,0.7184,0.5832
,,,,,,,,,,
mnasnet0_5,0.7111,0.7567,0.6451,0.3883,0.6056,0.3371,0.7454,0.7047,0.7325,0.6252
,,,,,,,,,,
vit_base_patch16_224,0.7409,0.7783,0.494,0.5323,0.6614,0.4823,0.7522,0.6134,0.6889,0.6382
,,,,,,,,,,
vit_base_patch32_224,0.7455,0.72,0.486,0.5504,0.6861,0.5143,0.7404,0.6303,0.6801,0.6392
,,,,,,,,,,
vit_large_patch16_224,0.7536,0.7457,0.4448,0.5092,0.6862,0.5054,0.7404,0.5986,0.6774,0.629
,,,,,,,,,,
vit_small_patch32_224,0.8032,0.7711,0.5493,0.5198,0.6794,0.4563,0.7608,0.5995,0.7242,0.6515
,,,,,,,,,,
deit3_small_patch16_224,0.7506,0.7255,0.504,0.5367,0.6589,0.3785,0.712,0.5672,0.6659,0.611
,,,,,,,,,,
vit_base_patch8_224,0.7445,0.7589,0.4917,0.4793,0.7042,0.5431,0.7648,0.5666,0.7056,0.6399
,,,,,,,,,,
vit_tiny_patch16_224,0.7265,0.7632,0.4537,0.5148,0.6902,0.4575,0.7088,0.5518,0.6913,0.6175
,,,,,,,,,,
vit_small_patch16_224,0.7749,0.7795,0.5317,0.5121,0.7154,0.5237,0.736,0.5843,0.6943,0.6502
,,,,,,,,,,
vit_base_patch16_384,0.7545,0.7474,0.493,0.5158,0.749,0.5285,0.7419,0.6177,0.6962,0.6493
,,,,,,,,,,
vit_tiny_patch16_384,0.7272,0.7344,0.4344,0.4558,0.709,0.4121,0.6912,0.5184,0.7044,0.5985
,,,,,,,,,,
vit_small_patch32_384,0.7441,0.7714,0.4859,0.5124,0.7221,0.4376,0.7451,0.5888,0.7182,0.6362
,,,,,,,,,,
vit_small_patch16_384,0.6993,0.7722,0.5083,0.5007,0.7224,0.5032,0.7481,0.626,0.6719,0.6391
,,,,,,,,,,
vit_base_patch32_384,0.7647,0.7674,0.4963,0.5299,0.7036,0.5191,0.7773,0.6445,0.6812,0.6538
,,,,,,,,,,
Average,0.7446,0.7471,0.4908,0.4742,0.6512,0.4208,0.7379,0.5468,0.6995,
,,,,,,,,,,
