Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF
resnet50,0.7370967741935484,0.728225806451613,0.5975806451612904,0.6,0.7387096774193549,0.667741935483871,0.728225806451613,0.42096774193548386,0.8177419354838709
resnet101,0.6443548387096775,0.6782258064516129,0.7870967741935484,0.625,0.7403225806451613,0.6516129032258065,0.6620967741935484,0.5137096774193548,0.685483870967742
densenet121,0.8088709677419355,0.8677419354838709,0.7725806451612903,0.75,0.7387096774193549,0.825,0.8677419354838709,0.8516129032258064,0.842741935483871
densenet169,0.875,0.8677419354838709,0.8120967741935483,0.775,0.8032258064516129,0.85,0.8354838709677419,0.7943548387096775,0.8588709677419355
vgg16,0.9588709677419355,0.9088709677419355,0.7354838709677419,0.85,0.8048387096774194,0.875,0.8516129032258064,0.9088709677419355,0.8927419354838709
vgg19,0.8516129032258064,0.8604838709677419,0.7693548387096774,0.8588709677419355,0.8459677419354839,0.7766129032258065,0.8354838709677419,0.8516129032258064,0.885483870967742
alexnet,0.8677419354838709,0.925,0.7459677419354839,0.85,0.7725806451612903,0.8838709677419355,0.9338709677419355,0.7588709677419355,0.95
resnext50_32x4d,0.6370967741935484,0.7943548387096775,0.6314516129032258,0.625,0.6064516129032258,0.6338709677419355,0.7532258064516129,0.5,0.7516129032258064
resnext101_32x8d,0.7838709677419355,0.8516129032258064,0.7225806451612904,0.625,0.7298387096774194,0.7427419354838709,0.8266129032258065,0.6532258064516129,0.8338709677419355
shufflenet_v2_x1_0,0.7854838709677419,0.9088709677419355,0.6588709677419355,0.725,0.7637096774193548,0.7516129032258064,0.9088709677419355,0.9,0.9
mobilenet_v2,0.7088709677419355,0.842741935483871,0.6088709677419355,0.6588709677419355,0.6427419354838709,0.6838709677419355,0.8177419354838709,0.7838709677419355,0.8
mnasnet0_5,0.760483870967742,0.8927419354838709,0.625,0.7338709677419355,0.6943548387096774,0.8088709677419355,0.8588709677419355,0.8588709677419355,0.7088709677419355
vit_base_patch16_224,1.0,0.975,0.8943548387096774,0.925,0.9104838709677419,0.925,0.975,0.9338709677419355,0.975
vit_base_patch32_224,0.9338709677419355,0.95,0.8459677419354839,0.9088709677419355,0.935483870967742,0.9588709677419355,0.9016129032258065,0.9338709677419355,0.9338709677419355
vit_large_patch16_224,0.9,0.95,0.8459677419354839,0.8088709677419355,0.8193548387096774,0.9,0.975,0.975,0.975
vit_small_patch32_224,0.9427419354838709,0.95,0.9104838709677419,0.9588709677419355,0.9104838709677419,0.9338709677419355,0.95,0.9588709677419355,0.975
deit3_small_patch16_224,0.8588709677419355,0.9588709677419355,0.7032258064516128,0.8,0.8370967741935484,0.85,0.9427419354838709,0.7427419354838709,0.9016129032258065
vit_base_patch8_224,0.925,0.95,0.8782258064516129,0.925,0.885483870967742,0.9,0.9338709677419355,0.9338709677419355,0.95
vit_tiny_patch16_224,0.975,0.975,0.8943548387096774,0.95,0.9032258064516129,0.925,0.8516129032258064,0.9427419354838709,0.975
vit_small_patch16_224,1.0,0.975,0.8282258064516128,0.975,0.9016129032258065,0.95,0.9338709677419355,0.975,0.975
vit_base_patch16_384,0.9338709677419355,0.9588709677419355,0.9032258064516129,0.975,0.885483870967742,0.95,0.975,0.9338709677419355,0.9588709677419355
vit_tiny_patch16_384,0.8927419354838709,0.8927419354838709,0.8032258064516129,0.95,0.8120967741935483,0.925,0.8193548387096774,0.9338709677419355,0.9588709677419355
vit_small_patch32_384,0.8677419354838709,0.9588709677419355,0.9088709677419355,0.925,0.9427419354838709,0.9338709677419355,0.935483870967742,0.9338709677419355,0.9266129032258064
vit_small_patch16_384,0.95,0.9338709677419355,0.8766129032258064,0.925,0.8120967741935483,0.917741935483871,0.917741935483871,0.9588709677419355,0.975
vit_base_patch32_384,0.9,0.975,0.8137096774193548,0.925,0.9016129032258065,0.925,0.975,0.9338709677419355,0.975
